"","station","min_inventory","max_inventory","status"
"1","10",3,16,"ok"
"2","11",4,16,"ok"
"3","12",4,13,"ok"
"4","13",-9,14,"needs_bikes"
"5","14",-2,0,"needs_bikes"
"6","15",-1,0,"needs_bikes"
"7","16",10,21,"remove_bikes"
"8","17",19,40,"remove_bikes"
"9","18",9,34,"remove_bikes"
"10","19",-1,2,"needs_bikes"
"11","21",15,29,"remove_bikes"
"12","22",15,26,"remove_bikes"
"13","23",9,16,"ok"
"14","4",7,19,"ok"
"15","5",11,29,"remove_bikes"
"16","6",4,14,"ok"
"17","7",-18,10,"needs_bikes"
"18","8",-9,6,"needs_bikes"
"19","9",6,9,"ok"
"20","20",NA,NA,"ok"
"21","2",NA,NA,"ok"
"22","24",NA,NA,"ok"
