"station","hour","inventory"
"10",0,12
"10",1,12
"10",2,12
"10",3,22
"10",4,46
"10",5,93
"10",6,110
"10",7,110
"10",8,124
"10",9,177
"10",10,166
"10",11,175
"10",12,233
"10",13,253
"10",14,281
"10",15,280
"10",16,330
"10",17,379
"10",18,427
"10",19,417
"10",20,407
"10",21,415
"10",22,415
"10",23,415
"11",0,3
"11",1,3
"11",2,3
"11",3,3
"11",4,26
"11",5,0
"11",6,0
"11",7,0
"11",8,62
"11",9,97
"11",10,118
"11",11,128
"11",12,77
"11",13,49
"11",14,0
"11",15,28
"11",16,88
"11",17,0
"11",18,24
"11",19,34
"11",20,34
"11",21,39
"11",22,39
"11",23,39
"12",0,1
"12",1,1
"12",2,8
"12",3,9
"12",4,19
"12",5,46
"12",6,93
"12",7,209
"12",8,217
"12",9,281
"12",10,290
"12",11,319
"12",12,324
"12",13,361
"12",14,469
"12",15,467
"12",16,554
"12",17,610
"12",18,670
"12",19,664
"12",20,672
"12",21,670
"12",22,667
"12",23,666
"13",0,8
"13",1,8
"13",2,8
"13",3,8
"13",4,21
"13",5,56
"13",6,36
"13",7,0
"13",8,0
"13",9,45
"13",10,92
"13",11,126
"13",12,165
"13",13,185
"13",14,38
"13",15,0
"13",16,66
"13",17,102
"13",18,122
"13",19,129
"13",20,129
"13",21,129
"13",22,129
"13",23,129
"14",0,0
"14",1,0
"14",2,0
"14",3,0
"14",4,0
"14",5,0
"14",6,0
"14",7,0
"14",8,0
"14",9,0
"14",10,0
"14",11,0
"14",12,0
"14",13,0
"14",14,0
"14",15,0
"14",16,0
"14",17,0
"14",18,0
"14",19,0
"14",20,0
"14",21,0
"14",22,0
"14",23,0
"15",0,0
"15",1,0
"15",2,0
"15",3,0
"15",4,0
"15",5,0
"15",6,0
"15",7,0
"15",8,0
"15",9,0
"15",10,0
"15",11,0
"15",12,0
"15",13,0
"15",14,0
"15",15,0
"15",16,0
"15",17,0
"15",18,0
"15",19,0
"15",20,0
"15",21,0
"15",22,0
"15",23,0
"16",0,0
"16",1,0
"16",2,0
"16",3,0
"16",4,5
"16",5,94
"16",6,122
"16",7,228
"16",8,295
"16",9,354
"16",10,374
"16",11,410
"16",12,470
"16",13,512
"16",14,638
"16",15,663
"16",16,746
"16",17,895
"16",18,970
"16",19,995
"16",20,1004
"16",21,1009
"16",22,1005
"16",23,1005
"17",0,2
"17",1,2
"17",2,2
"17",3,0
"17",4,0
"17",5,0
"17",6,71
"17",7,192
"17",8,277
"17",9,52
"17",10,20
"17",11,0
"17",12,54
"17",13,110
"17",14,259
"17",15,318
"17",16,423
"17",17,481
"17",18,587
"17",19,605
"17",20,615
"17",21,615
"17",22,615
"17",23,615
"18",0,0
"18",1,0
"18",2,0
"18",3,3
"18",4,25
"18",5,59
"18",6,100
"18",7,171
"18",8,229
"18",9,271
"18",10,347
"18",11,379
"18",12,401
"18",13,411
"18",14,509
"18",15,530
"18",16,572
"18",17,669
"18",18,707
"18",19,722
"18",20,719
"18",21,731
"18",22,729
"18",23,729
"19",0,0
"19",1,0
"19",2,0
"19",3,0
"19",4,0
"19",5,0
"19",6,0
"19",7,0
"19",8,0
"19",9,0
"19",10,0
"19",11,0
"19",12,0
"19",13,0
"19",14,0
"19",15,0
"19",16,0
"19",17,0
"19",18,0
"19",19,0
"19",20,0
"19",21,0
"19",22,0
"19",23,0
"2",0,0
"2",1,0
"2",2,0
"2",3,0
"2",4,0
"2",5,0
"2",6,0
"2",7,0
"2",8,0
"2",9,0
"2",10,0
"2",11,0
"2",12,0
"2",13,0
"2",14,0
"2",15,0
"2",16,0
"2",17,0
"2",18,0
"2",19,0
"2",20,0
"2",21,0
"2",22,0
"2",23,0
"20",0,0
"20",1,0
"20",2,0
"20",3,0
"20",4,0
"20",5,0
"20",6,0
"20",7,0
"20",8,0
"20",9,0
"20",10,0
"20",11,0
"20",12,0
"20",13,3
"20",14,3
"20",15,3
"20",16,3
"20",17,3
