"station","hour","inventory"
"10",0,13
"10",1,13
"10",2,13
"10",3,22
"10",4,42
"10",5,88
"10",6,93
"10",7,104
"10",8,113
"10",9,180
"10",10,170
"10",11,189
"10",12,219
"10",13,247
"10",14,283
"10",15,274
"10",16,320
"10",17,368
"10",18,412
"10",19,406
"10",20,396
"10",21,406
"10",22,406
"10",23,406
"11",0,5
"11",1,5
"11",2,5
"11",3,5
"11",4,30
"11",5,0
"11",6,0
"11",7,0
"11",8,64
"11",9,107
"11",10,134
"11",11,142
"11",12,101
"11",13,56
"11",14,0
"11",15,25
"11",16,92
"11",17,0
"11",18,39
"11",19,44
"11",20,44
"11",21,48
"11",22,48
"11",23,48
"12",0,1
"12",1,1
"12",2,4
"12",3,4
"12",4,12
"12",5,49
"12",6,71
"12",7,185
"12",8,209
"12",9,269
"12",10,288
"12",11,319
"12",12,324
"12",13,334
"12",14,451
"12",15,466
"12",16,542
"12",17,586
"12",18,650
"12",19,646
"12",20,650
"12",21,647
"12",22,645
"12",23,644
"13",0,12
"13",1,12
"13",2,12
"13",3,12
"13",4,26
"13",5,56
"13",6,33
"13",7,0
"13",8,0
"13",9,54
"13",10,97
"13",11,129
"13",12,167
"13",13,184
"13",14,0
"13",15,0
"13",16,62
"13",17,103
"13",18,117
"13",19,121
"13",20,121
"13",21,121
"13",22,121
"13",23,121
"14",0,0
"14",1,0
"14",2,0
"14",3,0
"14",4,0
"14",5,0
"14",6,0
"14",7,0
"14",8,0
"14",9,0
"14",10,0
"14",11,0
"14",12,0
"14",13,0
"14",14,0
"14",15,0
"14",16,0
"14",17,0
"14",18,0
"14",19,0
"14",20,0
"14",21,0
"14",22,0
"14",23,0
"15",0,0
"15",1,0
"15",2,0
"15",3,0
"15",4,0
"15",5,0
"15",6,0
"15",7,0
"15",8,0
"15",9,0
"15",10,0
"15",11,0
"15",12,0
"15",13,0
"15",14,0
"15",15,0
"15",16,0
"15",17,0
"15",18,0
"15",19,0
"15",20,0
"15",21,0
"15",22,0
"15",23,0
"16",0,1
"16",1,1
"16",2,1
"16",3,0
"16",4,4
"16",5,81
"16",6,121
"16",7,216
"16",8,308
"16",9,358
"16",10,384
"16",11,441
"16",12,501
"16",13,555
"16",14,662
"16",15,690
"16",16,762
"16",17,914
"16",18,981
"16",19,1005
"16",20,1010
"16",21,1017
"16",22,1017
"16",23,1017
"17",0,0
"17",1,0
"17",2,0
"17",3,0
"17",4,0
"17",5,0
"17",6,65
"17",7,176
"17",8,275
"17",9,53
"17",10,29
"17",11,0
"17",12,69
"17",13,121
"17",14,260
"17",15,332
"17",16,422
"17",17,467
"17",18,560
"17",19,590
"17",20,594
"17",21,595
"17",22,595
"17",23,595
"18",0,0
"18",1,0
"18",2,0
"18",3,3
"18",4,32
"18",5,74
"18",6,108
"18",7,183
"18",8,236
"18",9,289
"18",10,366
"18",11,389
"18",12,430
"18",13,448
"18",14,546
"18",15,555
"18",16,589
"18",17,702
"18",18,726
"18",19,737
"18",20,735
"18",21,746
"18",22,744
"18",23,744
"19",0,0
"19",1,0
"19",2,0
"19",3,0
"19",4,0
"19",5,0
"19",6,0
"19",7,0
"19",8,0
"19",9,0
"19",10,0
"19",11,0
"19",12,0
"19",13,0
"19",14,0
"19",15,0
"19",16,0
"19",17,0
"19",18,0
"19",19,0
"19",20,0
"19",21,0
"19",22,0
"19",23,0
"2",0,0
"2",1,0
"2",2,0
"2",3,0
"2",4,0
"2",5,0
"2",6,0
"2",7,0
"2",8,0
"2",9,0
"2",10,0
"2",11,0
"2",12,0
"2",13,0
"2",14,0
"2",15,0
"2",16,0
"2",17,0
"2",18,0
"2",19,0
"2",20,0
"2",21,0
"2",22,0
"2",23,0
"20",0,0
"20",1,0
"20",2,0
"20",3,0
"20",4,0
"20",5,0
"20",6,0
"20",7,0
"20",8,0
"20",9,0
"20",10,0
"20",11,0
"20",12,0
"20",13,2
"20",14,2
"20",15,2
"20",16,2
"20",17,2
"20",18,2
"20",19,2
"20",20,2
"20",21,2
"20",22,2
"20",23,2
"21",0,26
"21",1,26
"21",2,31
"21",3,17
"21",4,0
"21",5,7
"21",6,0
"21",7,25
"21",8,100
"21",9,204
"21",10,322
"21",11,359
"21",12,194
"21",13,72
"21",14,0
"21",15,54
"21",16,0
"21",17,0
"21",18,0
"21",19,10
"21",20,23
"21",21,23
"21",22,25
"21",23,25
"22",0,11
"22",1,11
"22",2,11
"22",3,24
"22",4,12
"22",5,30
"22",6,11
"22",7,118
"22",8,190
"22",9,234
"22",10,239
"22",11,246
"22",12,235
"22",13,227
"22",14,306
"22",15,265
"22",16,272
"22",17,299
"22",18,302
"22",19,254
"22",20,256
"22",21,230
"22",22,224
"22",23,224
"23",0,6
"23",1,26
"23",2,26
"23",3,39
"23",4,34
"23",5,39
"23",6,0
"23",7,65
"23",8,113
"23",9,92
"23",10,0
"23",11,0
"23",12,7
"23",13,27
"23",14,94
"23",15,66
"23",16,133
"23",17,160
"23",18,12
"23",19,33
"23",20,34
"23",21,38
"23",22,38
"23",23,38
"24",0,0
"24",1,0
"24",2,0
"24",3,0
"24",4,0
"24",5,0
"24",6,0
"24",7,0
"24",8,0
"24",9,3
"24",10,3
"24",11,3
"24",12,3
"24",13,3
"24",14,3
"24",15,3
"24",16,3
"24",17,3
"24",18,3
"24",19,3
"24",20,3
"24",21,3
"24",22,3
"24",23,3
"4",0,5
"4",1,6
"4",2,1
"4",3,1
"4",4,23
"4",5,64
"4",6,106
"4",7,167
"4",8,183
"4",9,192
"4",10,225
"4",11,220
"4",12,191
"4",13,176
"4",14,234
"4",15,230
"4",16,297
"4",17,391
"4",18,409
"4",19,413
"4",20,411
"4",21,410
"4",22,410
"4",23,410
"5",0,0
"5",1,0
"5",2,0
