"","station","min_inventory","max_inventory","status"
"1","10",7,20,"ok"
"2","11",9,21,"remove_bikes"
"3","12",11,20,"ok"
"4","13",-1,22,"needs_bikes"
"5","14",-1,1,"needs_bikes"
"6","15",0,1,"needs_bikes"
"7","16",18,29,"remove_bikes"
"8","17",29,50,"remove_bikes"
"9","18",16,41,"remove_bikes"
"10","19",0,3,"needs_bikes"
"11","21",22,36,"remove_bikes"
"12","22",24,35,"remove_bikes"
"13","23",17,24,"remove_bikes"
"14","4",13,25,"remove_bikes"
"15","5",19,37,"remove_bikes"
"16","6",6,16,"ok"
"17","7",-13,15,"needs_bikes"
"18","8",-6,9,"needs_bikes"
"19","9",10,13,"ok"
"20","20",NA,NA,"ok"
"21","2",NA,NA,"ok"
"22","24",NA,NA,"ok"
